Age,Education Level,Gender
33,Doctorate,Male
47,Doctorate,Male
NULL,Doctorate,Male
35,Bachelor's Degree,Male
32,Bachelor's Degree,Male
32,Bachelor's Degree,Male
32,Master's Degree,Male
32,Bachelor's Degree,Male
33,Master's Degree,Male
44,Master's Degree,Male
39,Master's Degree,Male
29,Master's Degree,Male
41,Doctorate,Male
44,Doctorate,Female
59,Master's Degree,Male
45,Bachelor's Degree,Male
32,Bachelor's Degree,Male
32,Bachelor's Degree,Male
28,Master's Degree,Male
28,Master's Degree,Male
40,Associate's Degree,Male
39,Bachelor's Degree,Male
28,Master's Degree,Female
31,Bachelor's Degree,Male
26,Master's Degree,Female
33,Bachelor's Degree,Female
28,Bachelor's Degree,Male
25,Bachelor's Degree,Male
29,Bachelor's Degree,Male
31,Bachelor's Degree,Male
45,Master's Degree,Male
42,Master's Degree,Male
45,Doctorate,Male
48,Master's Degree,Male
33,Bachelor's Degree,Male
27,Some College,Male
35,Bachelor's Degree,Male
39,Bachelor's Degree,Male
31,Bachelor's Degree,Male
24,Master's Degree,NULL
28,Master's Degree,Male
30,Master's Degree,Male
29,Master's Degree,Female
42,Bachelor's Degree,Male
30,Master's Degree,Male
28,Bachelor's Degree,Male
47,Doctorate,Male
28,Bachelor's Degree,Male
32,Master's Degree,Male
26,Master's Degree,Male
31,Bachelor's Degree,Male
40,Master's Degree,Female
27,Bachelor's Degree,Male
29,Bachelor's Degree,Male
31,Some College,Male
22,Master's Degree,Male
32,Doctorate,Male
33,Master's Degree,Female
37,Master's Degree,Male
29,Master's Degree,Male
32,Bachelor's Degree,Male
40,Master's Degree,Male
41,Master's Degree,Female
40,Bachelor's Degree,Female
33,Some College,Male
23,Master's Degree,Male
40,Bachelor's Degree,Male
30,Doctorate,Male
38,Bachelor's Degree,Male
38,Some College,Male
33,Master's Degree,Male
33,Master's Degree,Male
40,Associate's Degree,Male
25,Master's Degree,Male
33,Master's Degree,Male
41,Master's Degree,Male
45,Doctorate,Male
33,Master's Degree,Female
30,Some College,Male
47,Master's Degree,Male
33,Bachelor's Degree,Female
26,Bachelor's Degree,Male
30,Bachelor's Degree,Male
28,Bachelor's Degree,Male
25,Master's Degree,Male
38,Bachelor's Degree,Male
26,Bachelor's Degree,Male
32,Bachelor's Degree,Male
30,Bachelor's Degree,Male
33,Bachelor's Degree,Male
29,Master's Degree,Male
48,Doctorate,Male
31,Bachelor's Degree,Male
30,Master's Degree,Female
40,Bachelor's Degree,Male
31,Master's Degree,Male
39,Master's Degree,Male
33,Master's Degree,Male
25,Master's Degree,Male
30,Master's Degree,Male
40,Master's Degree,Male
31,Bachelor's Degree,Male
39,Post-Doc,Male
27,Bachelor's Degree,Male
38,Bachelor's Degree,Female
27,Bachelor's Degree,Female
30,Doctorate,Male
33,Bachelor's Degree,Male
41,Master's Degree,Male
43,Master's Degree,Male
23,Bachelor's Degree,Male
24,Trade School,Male
31,Master's Degree,Male
31,Bachelor's Degree,Male
