province,GDP,population
天津,1572247,14945
北京,2133083,21332
上海,2356094,24204
江苏,6508832,79498
浙江,4015350,55030
内蒙古,1776951,25012
辽宁,2862658,43907
福建,2405576,37900
广东,6779224,106840
山东,5942659,97614
吉林,1380381,27518
重庆,1426540,29807
湖北,2736704,58075
陕西,1768994,37696
宁夏,275210,6579
新疆,926410,22814
湖南,2704846,67139
河北,2942115,73582
青海,230112,5806
黑龙江,1503938,38446
海南,350072,8994
四川,2853666,81236
山西,1275944,36389
河南,3493938,100377
江西,1570859,45322
安徽,2084875,60564
广西,1567297,47365
西藏,92083,3148
云南,1281459,47003
甘肃,683527,25865
贵州,925101,35051
